UIAutomation 2.0.14 (Python 3.7.4, 64 bit)
2021-07-30 15:40:19.188 automation.py[79] main -> Starts, Current Cursor Position: (998, 428)
                                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (178,320,192,391)[14x71]    Name:     Handle: 0x0(0)    Depth: 8    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: TextControl    ClassName:     AutomationId:     Rect: (192,320,264,340)[72x20]    Name: 选择录制区域    Handle: 0x0(0)    Depth: 8    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: ComboBoxControl    ClassName:     AutomationId:     Rect: (192,349,346,391)[154x42]    Name:  Down    Handle: 0x0(0)    Depth: 8    ValuePattern.Value: 全屏录制    SupportedPattern: InvokePattern LegacyIAccessiblePattern ValuePattern
                                    ControlType: ListControl    ClassName:     AutomationId:     Rect: (0,0,0,0)[0x0]    Name:     Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern SelectionPattern
                                        ControlType: ListItemControl    ClassName:     AutomationId:     Rect: (1,1,639,41)[638x40]    Name: 全屏录制    Handle: 0x0(0)    Depth: 10    SelectionItemPattern.IsSelected: False    SupportedPattern: InvokePattern LegacyIAccessiblePattern SelectionItemPattern
                                        ControlType: ListItemControl    ClassName:     AutomationId:     Rect: (1,41,639,81)[638x40]    Name: 选区录制    Handle: 0x0(0)    Depth: 10    SelectionItemPattern.IsSelected: False    SupportedPattern: InvokePattern LegacyIAccessiblePattern SelectionItemPattern
                                        ControlType: ListItemControl    ClassName:     AutomationId:     Rect: (1,81,639,121)[638x40]    Name: 只录摄像头    Handle: 0x0(0)    Depth: 10    SelectionItemPattern.IsSelected: False    SupportedPattern: InvokePattern LegacyIAccessiblePattern SelectionItemPattern
                                        ControlType: ListItemControl    ClassName:     AutomationId:     Rect: (1,121,639,161)[638x40]    Name: 不录视频    Handle: 0x0(0)    Depth: 10    SelectionItemPattern.IsSelected: False    SupportedPattern: InvokePattern LegacyIAccessiblePattern SelectionItemPattern
                                ControlType: TextControl    ClassName:     AutomationId:     Rect: (369,320,441,340)[72x20]    Name: 选择录制音频    Handle: 0x0(0)    Depth: 8    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: ComboBoxControl    ClassName:     AutomationId:     Rect: (369,349,523,391)[154x42]    Name:  Down    Handle: 0x0(0)    Depth: 8    ValuePattern.Value: 不录音频    SupportedPattern: InvokePattern LegacyIAccessiblePattern ValuePattern
